,count,mean,std,min,25%,50%,75%,max
LS_ny,1985.0,3.571969773299748,0.560588327812339,2.72,3.18,3.51,3.74,5.37
LS_jt,1985.0,5.664801007556676,0.8614649429796056,4.28,4.88,5.67,6.21,8.03
LS_gs,1985.0,5.283506297229219,0.647668895401195,4.06,4.75,5.23,5.69,7.75
LS_js,1985.0,6.707395465994963,0.784602527583181,5.24,6.11,6.65,7.15,9.81
LS_zg,1985.0,3.724035264483627,0.5805822028966315,2.98,3.25,3.63,3.95,5.6
JC_pa,1985.0,13.395743073047859,3.5850949092809303,8.57,10.81,12.49,14.99,25.01
JC_pf,1985.0,9.963400503778336,2.240728022286198,6.5,7.97,10.06,11.38,16.91
JC_hx,1985.0,7.010146095717884,1.5616395788432744,4.79,5.73,6.51,7.68,11.93
JC_ms,1985.0,5.317687657430731,1.6902591968076812,3.27,3.89,5.16,6.18,9.45
JC_zs,1985.0,35.592413098236776,8.486303283407535,18.39,30.03,34.34,38.99,58.5
JC_xy,1985.0,17.790413098236776,2.1462673502947514,13.82,16.19,17.44,18.98,27.73
JC_gd,1985.0,3.638221662468514,0.46103605628608213,2.72,3.19,3.74,4.02,4.99
JC_zx,1985.0,5.7424030226700244,0.7632776433762196,4.25,5.12,5.75,6.35,8.14
CC_nb,1985.0,26.13494710327456,7.453650512157246,15.04,19.67,25.11,32.08,44.09
CC_js,1985.0,7.24657934508816,1.054128039789636,5.37,6.46,7.12,7.62,10.59
CC_hz,1985.0,12.374372795969771,3.2366335280386758,7.31,9.68,12.49,14.32,23.7
CC_nj,1985.0,9.021994962216624,1.2697024868907454,6.37,7.99,8.78,10.12,12.47
CC_bj,1985.0,5.569430730478589,1.3119513939331233,4.04,4.59,5.25,5.95,10.19
CC_sh,1985.0,9.99738539042821,4.753653758694312,5.58,6.74,8.29,11.52,27.21
CC_gy,1985.0,8.792866498740555,3.639651466444087,4.71,5.7,7.73,11.76,18.06
RC_jy,1985.0,5.490977329974811,3.29848686166896,3.42,3.95,4.24,5.34,23.63
RC_zjg,1985.0,6.696287153652394,3.9253488477809726,3.61,4.6,5.66,6.24,29.95
RC_wx,1985.0,6.457491183879093,2.358644757863771,4.75,5.42,5.71,6.09,23.8
RC_cs,1985.0,7.652433249370278,1.4047335995082735,5.55,6.91,7.37,7.88,15.01
RC_sn,1985.0,6.237541561712845,3.039686058142702,4.06,4.71,5.1,6.3,21.67
